"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1009080018892",4,2,1,1,1,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6
"1009080022809",2,2,2,3,5,5,6,6,6,6,6,6,5,4,2,1,1,1,1,1
"1009080049060",3,6,6,6,5,3,2,1,1,2,3,6,6,6,4,1,1,1,2,2
"1009080071999",4,6,6,6,3,1,1,1,2,3,4,6,6,6,3,1,1,1,2,3
"1009082003124",5,6,6,5,2,1,1,1,2,3,5,6,6,6,4,2,1,1,2,3
"1009083008341",3,2,2,2,2,3,5,6,6,4,3,2,1,1,2,3,5,6,6,3
"1009084074920",2,2,3,5,6,5,4,3,2,1,1,2,3,6,6,6,4,2,2,1
"1009087017436",4,5,5,5,5,6,5,5,6,6,5,1,1,1,1,1,2,3,4,4
"1009087075513",3,3,4,5,5,5,6,6,6,6,6,1,1,1,1,1,1,2,2,3
"1009087081190",6,6,5,4,2,1,3,2,3,4,5,6,5,2,3,1,1,2,2,3
"1009088026725",5,6,6,2,2,1,1,1,1,2,3,2,3,3,5,6,6,5,5,6
"1009088055071",5,5,6,6,6,6,5,4,6,3,2,1,1,1,1,1,2,3,2,2
"1009108009623",6,6,6,5,4,3,1,1,1,1,1,1,2,3,3,5,5,5,6,6
"1009108076942",1,1,2,2,4,6,6,6,3,2,2,1,2,3,5,6,6,4,2,1
"1009109077773",5,3,3,1,1,2,2,4,6,6,6,5,2,1,3,2,3,3,6,6
"1009109101875",3,5,6,6,5,3,2,1,2,3,4,6,6,5,4,2,2,2,2,2
"1009110055948",6,6,4,3,1,1,1,3,3,5,6,6,4,2,2,1,1,2,3,6
"1009110059575",2,2,3,4,4,3,3,2,2,2,2,4,5,6,6,5,2,2,2,2
"1009110109647",6,4,3,1,1,2,1,4,5,6,6,4,3,2,1,2,4,5,6,6
"1009112006784",6,6,6,4,2,1,1,2,2,3,4,4,4,3,2,1,2,2,4,6
"1009112047242",2,1,2,1,2,4,6,6,5,3,3,2,2,2,2,4,6,6,5,3
"1009112081114",2,1,3,4,6,6,6,5,2,2,2,2,3,3,4,4,3,3,3,2
"1009113037273",3,2,2,1,3,2,4,6,6,5,3,2,1,2,3,2,4,6,6,5
"1009113070810",1,2,2,5,6,6,6,3,2,1,1,1,2,4,6,6,5,3,2,1
"1009115005778",5,2,2,4,3,3,2,3,5,5,5,4,2,2,1,2,4,5,5,6
"1009116026100",6,3,2,1,1,1,2,4,6,6,6,4,2,1,1,1,2,4,6,6
"1009118027285",6,6,4,3,3,1,1,2,4,4,5,6,5,5,2,1,1,1,3,5
"1009119039559",1,2,4,6,6,6,5,3,2,1,1,2,3,5,6,6,4,2,1,1
"1009125005527",2,2,3,3,5,6,6,3,2,2,2,2,2,2,4,6,6,3,2,2
"1009126024399",6,5,3,2,1,1,1,2,4,6,6,5,3,2,1,1,2,3,5,6
"1012014037799",1,2,1,2,2,2,1,3,3,4,4,5,6,6,5,6,5,5,4,1
"1012015003062",6,6,6,5,3,1,1,1,1,1,1,2,2,3,4,4,5,5,6,6
"1012023045102",1,1,4,5,6,6,6,3,1,1,1,2,4,5,6,6,5,3,2,1
"1012024036908",3,3,4,5,6,5,3,2,2,2,2,3,4,4,6,6,4,2,1,2
"1012024038020",5,3,2,1,1,1,2,4,6,6,5,3,2,1,1,2,3,4,6,6
"1012024044364",2,5,6,6,4,4,2,2,2,3,3,4,6,6,5,2,2,1,2,1
"1012024046754",6,6,3,3,2,2,1,3,4,6,6,5,4,2,2,1,2,3,4,6
"1012027026013",3,1,1,2,2,3,3,5,6,4,3,2,1,2,2,4,6,6,6,5
"1012027030440",6,5,3,2,3,2,3,1,2,4,4,4,3,3,2,3,3,3,3,6
"1012029042684",4,2,2,2,2,2,3,5,6,6,4,2,2,1,1,2,3,5,6,6
"1012029048790",5,6,6,4,4,1,1,1,3,5,6,6,5,4,2,1,1,1,3,6
"1012030002948",6,3,3,2,1,1,2,3,5,6,6,5,2,2,1,2,2,2,5,6
"1012031013328",1,1,1,1,2,2,3,4,5,5,6,6,6,6,6,6,5,4,2,1
"1012032021104",3,2,1,1,1,3,5,6,6,4,2,1,1,1,2,4,6,6,6,5
"1012047012609",6,6,4,2,1,1,1,2,3,5,6,6,5,4,2,1,1,2,3,5
"1012049034034",1,1,1,5,6,6,6,4,3,3,2,1,2,3,5,6,6,5,2,1
"1012049034654",2,2,1,4,6,6,5,3,2,1,1,2,3,5,6,6,5,3,2,1
"1012051012964",2,4,4,6,6,5,2,2,2,2,2,4,5,5,5,3,2,2,2,1
"1012051018455",1,1,1,1,2,3,4,5,5,6,6,6,6,6,6,4,2,1,1,1
"1012051051636",6,6,6,5,3,1,1,2,2,5,5,6,6,3,2,1,1,1,2,4
"1012052028768",6,6,3,2,1,1,1,2,4,6,6,5,3,2,1,1,1,2,4,6
"1012053020408",2,4,5,6,6,5,2,2,2,1,2,3,6,6,6,3,2,1,1,1
"1012054025692",5,6,6,5,3,3,2,1,1,5,6,6,6,5,2,1,2,1,1,3
"1012056010723",2,2,3,2,2,2,5,6,2,3,2,2,3,3,3,2,6,6,3,2
"1012057036145",6,6,5,3,2,1,1,3,4,6,6,6,4,3,1,1,1,2,5,5
"1012057037766",1,1,2,2,4,6,6,5,3,2,1,1,2,3,5,6,6,5,4,2
"1012059014613",6,6,5,2,1,1,1,2,3,4,6,6,5,3,2,1,1,2,2,4
"1012061048609",1,1,2,3,5,6,6,4,2,2,1,1,2,2,5,6,6,6,4,2
"1012062027289",3,4,5,6,6,6,6,6,6,5,3,2,2,1,1,1,1,1,2,2
"1012065034874",5,3,2,1,1,2,2,5,6,6,6,3,2,1,1,1,2,3,6,6
"1012066023469",5,6,6,6,6,6,4,5,3,1,1,1,1,1,1,2,3,4,4,4
"1012074025350",1,2,2,4,4,5,4,3,5,6,6,6,6,5,4,3,3,2,1,1
"1012076042774",6,6,6,5,2,2,1,2,3,4,6,6,5,4,3,2,1,1,2,2
"1012076055830",2,6,6,6,5,4,2,1,1,2,4,5,5,6,6,3,2,1,2,2
"1012078014490",6,6,6,5,4,3,3,2,1,1,1,1,2,2,2,3,4,5,6,6
"1012078029542",6,6,4,2,1,1,1,3,5,6,6,5,3,2,1,1,1,3,5,6
"1012080004706",6,5,5,5,6,6,6,6,3,1,1,1,1,2,1,3,3,3,4,4
"1012082066260",1,1,1,1,2,2,2,2,3,4,5,6,6,6,6,6,6,5,4,1
"1012085049937",3,4,6,6,5,4,2,3,1,2,5,4,3,4,5,3,1,1,2,3
"1012085050148",1,1,1,2,3,3,3,4,6,5,6,6,6,6,5,3,2,1,2,1
"1012086002723",2,1,1,2,2,5,4,6,6,4,2,1,1,1,4,6,6,6,4,3
"1012086076725",2,1,1,1,2,5,6,6,4,5,2,2,1,2,2,4,6,6,6,6
"1012086091495",2,1,2,4,6,5,4,2,2,2,2,2,2,4,6,6,4,2,2,2
"1012107041835",6,6,5,3,3,3,2,1,1,1,1,1,2,3,5,5,6,6,6,5
"1012107045042",5,6,6,6,6,5,5,5,4,3,2,1,1,1,1,1,2,2,3,4
"1012107129552",1,2,4,6,6,5,3,2,1,1,2,2,5,6,6,5,3,2,1,1
"1012108025380",1,1,3,4,6,6,6,3,2,1,1,1,2,4,6,6,5,3,2,1
"1012108107307",1,1,2,2,5,5,6,6,5,4,3,1,1,2,3,5,6,6,3,2
"1012109053853",6,4,6,6,6,6,4,2,2,1,1,1,1,2,2,3,3,5,4,5
"1012109080774",2,2,3,6,6,5,3,2,2,1,2,2,3,5,6,6,4,3,1,2
"1012109097311",2,2,2,4,5,3,4,5,5,3,2,2,3,3,6,4,3,3,5,3
"1012110002126",2,2,2,3,5,6,6,4,3,2,1,2,2,4,6,4,6,4,2,2
"1012110003118",1,3,4,6,6,6,4,2,2,1,2,2,3,6,6,6,4,2,1,1
"1012110013448",6,6,6,3,2,1,1,2,2,4,6,6,6,3,2,1,1,2,3,3
"1012110042253",6,3,1,1,1,1,3,4,5,6,5,3,2,1,1,3,3,5,6,6
"1012110049955",5,4,3,2,2,2,3,4,4,6,5,2,3,2,2,2,2,5,6,5
"1012111003005",3,3,3,4,5,5,4,5,6,6,5,5,4,1,1,1,2,2,2,3
"1012111009860",2,2,2,2,6,6,6,4,3,2,2,1,2,3,6,6,6,4,2,2
"1012111065598",1,1,1,1,2,2,3,3,4,5,6,3,5,5,6,6,6,4,3,2
"1012114073078",6,5,2,1,1,1,3,3,5,6,6,3,2,1,1,1,2,3,5,6
"1012115052448",3,4,6,5,5,4,2,1,1,2,6,4,5,6,5,3,1,2,2,2
"1012116039485",6,6,6,4,2,1,1,1,2,4,6,6,6,4,2,2,1,2,3,4
"1012116056997",2,2,4,6,6,4,4,2,2,2,2,3,5,6,6,5,3,2,2,1
"1012117004967",6,4,2,1,1,1,2,3,6,6,6,5,2,2,1,2,2,3,5,6
"1015018049953",2,1,1,1,2,3,5,6,6,4,2,1,1,1,2,4,6,6,6,4
"1015023014490",2,1,1,1,2,4,6,6,5,3,2,1,1,2,3,5,6,6,5,3
"1015024038434",1,1,1,2,4,6,6,5,3,2,1,1,2,2,4,6,6,6,3,2
"1015025042890",3,2,2,1,2,2,6,6,6,4,2,1,1,2,2,3,4,6,5,3
"1015026011167",3,3,3,2,2,2,3,3,3,4,4,3,2,2,3,2,2,6,6,6
"1015026022331",6,6,6,5,3,2,1,1,2,4,6,6,5,4,2,1,1,1,3,4
"1015026040729",5,3,1,1,1,3,4,5,6,6,2,2,1,2,2,4,5,6,6,6
"1015027007542",3,2,1,2,2,2,3,6,6,6,3,2,1,1,1,2,3,6,6,6
"1015027031391",3,3,3,2,1,3,4,6,6,3,3,3,3,2,2,2,4,6,2,2
"1015028002871",5,5,3,4,3,2,2,2,3,5,6,6,6,4,2,1,1,1,2,3
"1015028020781",3,4,6,6,5,3,2,2,1,1,2,3,6,6,4,4,3,2,2,2
"1015029014031",3,2,2,2,2,2,3,4,6,6,3,2,2,2,2,2,3,4,4,3
"1015029034231",3,1,1,1,1,3,4,6,6,5,3,2,1,2,2,3,5,6,6,6
"1015030015556",2,1,1,2,3,6,6,6,3,2,2,1,1,3,5,6,6,6,5,3
"1015031046805",3,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,6,6,6,NA
"1015048043921",6,5,2,1,1,1,2,3,5,6,6,6,3,2,1,1,2,2,5,6
"1015049011265",6,5,4,3,1,1,2,3,5,6,6,5,3,2,1,1,1,3,6,6
"1015052051823",1,3,3,2,3,3,4,4,2,1,2,2,3,5,6,6,4,5,4,1
"1015053065671",1,2,5,6,6,6,3,2,1,1,1,2,4,6,6,6,3,2,1,1
"1015054013156",6,4,1,1,1,1,1,3,2,3,4,4,5,5,6,5,5,5,6,6
"1015056052168",2,1,1,1,2,3,6,6,6,4,2,1,1,1,2,3,5,6,6,4
"1015057025101",6,5,3,1,2,2,2,3,6,6,6,5,4,2,1,1,1,3,6,6
"1015063044818",3,3,3,4,4,5,5,5,6,6,6,6,6,3,1,1,1,1,3,2
"1015064047953",2,2,5,4,6,6,5,3,2,2,1,1,2,3,6,6,6,5,2,1
"1015066035826",6,6,6,4,3,2,1,2,1,3,5,6,6,4,2,1,1,1,2,3
"1015067013872",4,6,6,6,4,2,1,1,1,2,4,6,6,5,4,2,1,1,1,2
"1015067033679",2,3,1,1,1,1,1,2,3,3,3,4,6,6,6,6,5,5,6,4
"1015068033271",2,1,1,2,5,6,6,5,3,2,1,1,1,3,5,6,6,5,2,2
"1015068041170",4,5,4,4,4,5,6,6,4,5,5,6,5,1,1,1,1,1,2,4
"1015068050881",1,1,1,2,2,3,4,4,5,6,6,6,6,6,5,4,3,2,1,1
"1015068058147",1,1,1,2,2,2,4,5,5,5,5,5,5,6,6,6,6,4,1,1
"1015069045136",2,2,3,4,6,6,6,3,2,1,1,2,2,3,4,5,3,3,2,NA
"1015070019611",2,2,4,6,6,6,5,4,3,2,2,2,3,2,2,2,2,2,3,3
"1015072019311",5,6,6,4,3,2,1,1,3,5,6,6,6,2,2,1,2,2,4,4
"1015072040342",6,4,2,1,2,2,3,5,6,6,4,3,1,1,1,1,3,6,6,6
"1015077011216",6,6,6,4,2,2,1,1,2,3,6,6,6,5,2,1,1,1,2,3
"1015077018171",1,1,1,1,1,2,2,3,4,6,5,6,6,6,6,5,6,5,3,2
"1015079007888",5,4,2,1,1,1,1,2,1,1,3,3,4,5,6,6,6,5,6,5
"1015079071693",3,3,2,2,2,2,3,5,6,6,5,3,2,2,2,2,2,3,3,4
"1015080041906",5,6,5,4,4,1,2,1,3,4,5,6,5,5,2,1,1,1,3,5
"1015082097700",4,2,2,1,1,2,2,5,6,6,4,2,2,1,1,2,3,5,6,6
"1015083029515",2,2,2,3,3,2,6,6,6,4,2,2,2,3,3,3,5,5,3,1
"1015083050432",6,3,2,1,2,2,2,5,6,6,4,3,2,1,1,1,2,4,6,6
"1015083062576",3,5,6,6,5,3,2,1,1,1,2,4,6,6,5,3,2,1,1,2
"1015083103358",4,2,2,2,2,2,1,1,1,1,3,5,5,6,6,6,5,6,5,4
"1015084006192",6,6,6,5,1,1,1,1,1,1,1,3,3,4,5,5,5,6,6,5
"1015106053593",4,2,1,2,2,2,4,5,6,6,3,2,1,1,1,2,3,6,6,6
"1015106066799",5,2,1,2,2,2,1,2,6,6,4,3,3,3,3,1,2,5,6,6
"1015106073270",1,2,3,5,6,6,5,5,1,1,2,4,3,4,6,6,5,2,1,1
"1015107055673",1,2,3,3,4,4,5,6,6,6,6,6,5,5,3,2,1,1,1,1
"1015107070665",2,1,2,3,2,4,6,5,4,2,1,1,1,2,4,6,6,6,5,3
"1015108004660",2,3,6,6,5,3,2,2,1,2,2,3,6,6,5,3,2,1,1,2
"1015108041751",2,4,6,6,6,3,2,1,1,1,2,3,6,6,6,3,2,1,1,2
"1015108058853",4,6,6,5,3,2,1,1,2,2,4,6,6,5,3,2,1,1,2,2
"1015109076829",1,1,3,4,4,6,4,3,2,2,1,1,3,3,6,6,6,4,1,1
"1015110022788",5,4,2,1,1,1,3,5,6,6,6,3,2,1,1,1,4,5,6,6
"1015110055005",6,6,5,4,2,1,1,2,2,4,4,3,2,3,2,2,3,4,4,6
"1015115043672",3,3,4,5,5,4,3,2,6,2,2,2,4,4,4,4,3,3,3,2
"1015115056177",6,5,4,6,3,2,2,2,3,4,6,6,5,3,2,2,2,2,2,3
"1015119043610",6,5,3,1,1,2,3,5,6,6,5,5,2,1,1,1,2,4,6,6
"1018004027917",6,6,4,2,1,1,1,3,5,6,6,5,3,2,1,1,1,3,5,6
"1018008030458",6,3,2,1,1,2,3,5,5,6,5,3,2,1,1,1,3,6,6,6
"1018014040019",2,3,5,6,6,6,4,2,1,1,1,2,4,6,6,6,3,2,1,1
"1018017038895",5,6,6,6,6,6,6,5,2,1,1,1,1,1,1,2,3,4,5,5
"1018025057493",2,5,5,6,6,6,6,6,6,5,4,3,1,1,1,1,1,2,2,2
"1018027049477",1,1,2,1,1,5,6,5,4,2,1,4,3,2,4,5,6,6,5,3
"1018030006715",1,1,1,1,1,2,2,2,4,4,5,6,6,6,6,6,4,3,3,2
"1018030064016",2,1,1,1,1,2,4,6,6,5,3,2,2,3,4,5,6,6,6,5
"1018048076243",1,1,2,4,6,6,4,2,2,1,1,2,2,5,6,6,6,3,1,1
"1018049019401",1,1,2,2,3,3,4,4,5,5,6,6,6,6,6,6,3,1,1,1
"1018050026873",3,2,1,1,1,1,1,1,2,3,3,3,5,6,6,6,6,6,5,3
"1018059004190",1,1,2,2,4,4,5,5,6,6,6,6,6,5,4,2,1,1,1,1
"1018060038029",1,1,2,3,5,6,6,3,2,1,1,1,2,4,6,6,6,4,2,1
"1018061043090",5,5,6,5,1,1,1,1,5,6,6,6,5,3,1,1,1,2,5,6
"1018062006271",6,6,6,6,6,2,1,1,1,1,1,2,2,3,3,5,5,5,5,5
"1018062055070",1,2,4,4,5,5,5,6,6,6,6,6,6,4,1,1,1,1,1,2
"1018070046594",1,2,2,4,6,6,6,3,2,1,1,1,2,5,6,6,5,3,2,1
"1018075066464",5,2,1,1,2,2,4,6,6,6,4,3,2,1,1,2,4,6,6,5
"1018077050876",4,4,6,6,6,3,1,1,1,1,2,5,6,6,6,4,2,1,1,2
"1018079015112",6,6,4,4,2,1,1,1,1,1,1,2,2,3,4,5,6,6,6,6
"1018079016060",6,6,6,6,6,5,5,4,2,1,1,1,1,1,1,2,2,3,4,6
"1018080012608",3,5,5,6,6,6,6,5,6,5,4,2,2,1,1,1,1,1,2,2
"1018080085083",5,6,6,5,3,2,1,1,1,3,6,6,6,5,3,2,1,1,1,2
"1018081036999",6,6,3,1,2,2,2,2,3,5,4,2,3,1,1,2,3,4,6,6
"1018085109595",1,1,1,1,2,2,3,4,5,5,5,5,5,6,6,6,6,1,5,3
"1018105065932",6,6,3,1,1,1,2,1,1,4,3,3,3,4,5,5,5,5,5,6
"1018106009470",6,6,5,4,3,5,3,1,1,1,1,1,2,2,3,4,5,6,6,6
"1018107078313",1,1,2,3,4,6,5,5,2,2,1,2,3,5,6,6,6,3,1,1
"1018107084280",1,3,5,6,6,4,5,3,1,2,2,3,3,5,6,6,3,4,1,1
"1018110016233",1,2,3,5,6,6,5,3,1,1,1,2,2,4,6,6,4,2,2,1
"1018111014016",1,2,2,3,2,5,5,4,6,6,5,5,5,5,5,5,2,1,1,1
"1018115034972",6,6,3,3,2,1,1,1,4,6,6,5,4,2,1,2,2,2,4,6
"1018116024699",6,5,6,6,5,1,1,1,1,1,2,3,3,4,4,4,5,6,5,5
"1018118016156",1,2,4,4,6,6,6,3,1,1,1,2,3,5,6,6,6,3,1,1
"1018120014330",1,1,1,2,2,2,4,5,5,6,6,6,6,6,4,5,2,2,1,1
"1018123011186",5,3,1,1,1,1,1,2,3,2,3,3,5,5,6,6,5,6,6,5
"1101005034728",2,1,1,2,3,5,6,6,4,3,1,1,1,2,3,6,6,6,5,3
"1101007015699",1,1,1,2,4,5,6,6,5,2,2,1,2,3,4,6,6,6,4,3
"1101007023338",6,5,3,1,1,1,2,3,5,6,6,4,2,1,1,1,2,4,6,6
"1101009026168",3,5,3,1,1,1,1,1,2,2,4,3,6,6,6,6,5,5,3,3
"1101009033394",5,6,5,5,6,6,5,4,1,2,2,2,1,1,1,2,3,4,5,4
"1101010010030",1,2,3,6,6,6,5,3,1,1,1,3,4,6,6,6,4,2,1,1
"1101011015015",2,2,3,4,5,6,4,4,2,2,1,2,3,4,6,6,5,4,2,1
"1101012011905",4,3,2,1,2,1,2,5,6,6,4,2,1,2,1,2,3,5,6,6
"1101019042045",3,5,6,6,4,4,2,2,1,2,3,4,5,6,6,5,3,1,1,1
"1101021053226",5,6,6,6,6,5,4,2,1,1,1,1,2,3,2,4,4,3,4,5
"1101024005625",2,5,6,6,5,3,2,1,1,1,3,5,6,6,6,3,1,1,1,2
"1101024020394",5,5,6,6,4,3,1,1,2,3,4,6,5,5,2,1,1,2,1,3
"1101026028972",5,4,2,1,2,2,3,5,5,5,4,3,2,2,1,2,4,5,6,6
"1101026052118",1,1,2,3,5,6,6,5,2,2,1,1,2,3,5,6,6,5,3,2
"1101027075765",3,5,6,6,5,2,1,1,1,2,3,5,6,6,5,3,2,1,1,2
"1101028034123",2,1,1,2,4,6,6,6,6,4,2,1,1,1,3,5,5,5,5,3
"1101028090427",3,1,1,1,2,4,6,6,6,6,4,2,1,1,2,3,5,6,5,5
"1101029008219",6,5,2,1,1,2,2,4,5,6,6,4,2,1,1,2,2,4,6,6
"1101029030862",1,2,2,4,6,6,5,3,2,1,1,1,2,3,6,6,5,3,2,2
"1101029032089",6,6,6,5,2,2,2,1,2,3,3,6,5,4,3,1,1,2,2,5
"1101029038833",5,4,3,3,2,1,1,1,2,1,2,3,5,6,6,6,6,5,5,4
"1101030021009",5,5,6,6,6,6,6,6,6,4,2,1,2,1,1,1,1,1,3,3
"1101030038684",2,3,4,6,6,6,4,1,1,1,2,3,4,6,6,6,4,3,1,1
"1101030046085",2,2,2,1,3,5,5,6,6,4,2,2,1,1,2,4,6,6,6,4
"1101030086606",2,1,3,6,6,5,4,2,2,1,2,2,3,6,6,5,3,1,2,3
"1101030087273",2,3,3,2,3,4,5,5,5,2,2,1,2,1,2,4,6,6,6,4
"1101030089634",3,6,6,5,5,2,1,1,1,2,3,6,6,6,4,3,2,1,1,2
"1101030100961",4,4,3,4,4,4,4,1,3,4,4,3,3,3,3,5,5,6,5,2
"1101030102823",2,3,3,4,3,2,2,2,2,2,5,6,6,6,6,3,2,2,2,2
"1101031073135",3,3,2,1,1,3,5,6,6,6,3,2,1,2,2,3,6,5,6,5
"1101031093139",2,4,4,4,5,3,1,1,2,4,3,4,5,6,6,5,4,2,1,2
"1101032012424",4,1,3,1,2,4,6,6,6,6,4,2,1,1,2,3,3,6,6,6
"1101032049388",2,4,6,6,5,3,2,2,1,2,2,4,6,6,6,3,1,2,2,2
"1101045018054",5,3,3,1,1,2,4,5,6,6,3,3,2,1,1,1,4,6,6,6
"1101045061698",6,6,6,4,3,1,1,2,2,3,5,4,5,5,3,1,2,2,1,4
"1101045086026",2,2,2,5,6,6,5,5,2,1,1,3,3,5,6,6,5,3,1,1
"1101046017262",2,3,5,6,6,4,2,1,1,1,1,3,5,6,6,4,2,2,1,2
"1101046024564",6,3,3,3,2,2,1,4,4,6,6,5,2,2,2,2,3,3,4,6
"1101046053605",1,2,2,4,6,6,6,4,1,2,1,2,2,5,6,6,5,3,2,2
"1101046056410",3,6,3,3,3,3,3,2,2,3,3,6,3,2,3,2,3,3,3,2
"1101047027355",1,2,2,3,3,6,5,2,2,3,2,2,3,3,5,6,5,2,3,2
"1101048018027",1,3,5,6,6,5,3,1,1,1,3,4,5,6,6,6,4,2,1,1
"1101048036457",4,6,6,6,5,3,1,1,1,2,4,6,6,6,5,3,1,1,1,2
"1101049018788",3,1,1,1,2,3,6,6,6,3,3,2,1,1,2,3,6,6,6,4
"1101050018493",6,4,2,1,1,1,2,4,6,6,6,5,3,1,1,1,2,4,5,6
"1101050038346",3,4,4,3,2,2,2,2,2,3,5,6,6,3,2,2,2,2,2,3
"1101050044325",3,3,4,5,4,4,5,6,6,4,3,2,2,2,2,2,2,2,3,3
"1101051057468",6,4,3,2,2,2,2,4,3,5,4,3,2,2,2,2,2,4,6,6
"1101052054089",3,2,2,1,1,1,1,1,1,2,3,5,5,6,6,6,6,6,6,6
"1101053018687",2,4,5,6,6,6,4,2,1,1,2,2,4,6,6,5,4,2,1,1
"1101054019829",1,3,5,6,6,4,2,2,1,1,2,3,5,6,6,5,3,2,1,1
"1101056014409",2,2,2,2,1,3,4,5,5,6,6,6,6,5,4,3,2,1,1,2
"1101056055290",4,4,4,6,6,6,6,6,6,5,4,5,2,1,1,1,1,1,3,3
"1101057025439",4,2,2,1,1,1,1,1,1,3,3,4,5,5,6,6,6,6,6,5
"1101058013417",3,5,6,5,5,5,5,6,3,6,4,3,2,2,1,2,1,1,1,2
"1101058024169",5,2,1,1,1,3,5,6,6,5,3,1,1,1,1,3,5,6,6,6
"1101059024155",5,4,3,1,2,2,3,4,5,5,5,3,3,1,1,2,3,5,6,6
"1101059025641",6,5,5,6,6,4,4,4,1,2,1,1,1,1,3,2,4,4,5,5
"1101064005948",3,1,1,1,1,2,3,6,6,6,4,2,1,1,2,3,5,6,6,6
"1101072056159",2,1,1,2,2,4,6,6,6,3,2,1,1,1,2,3,6,6,6,4
"1101075005829",2,5,3,5,6,5,6,5,5,5,4,3,3,1,1,1,1,3,2,1
"1101075014150",3,3,5,3,2,3,3,4,3,3,3,6,6,3,1,3,2,3,4,2
"1101076022222",4,5,6,6,4,4,5,5,3,2,2,1,1,1,2,3,3,3,4,5
"1101076058217",6,6,6,5,2,1,1,1,2,4,6,6,6,4,2,1,1,1,2,4
"1101077009202",2,1,4,4,6,6,5,3,2,2,2,2,2,5,6,6,5,4,2,2
"1101077010636",6,5,5,4,5,5,2,1,1,2,2,2,2,4,3,2,4,5,4,5
"1101080034146",4,4,6,5,4,5,5,5,1,1,2,1,1,3,3,3,4,4,3,5
"1101080064767",2,1,2,2,2,5,6,5,4,2,1,2,2,3,4,6,6,6,4,2
"1101081013825",4,5,6,6,4,3,2,1,1,2,4,5,6,6,4,2,1,1,1,3
"1101082000375",6,5,6,4,3,2,1,1,2,3,2,2,4,3,5,4,5,4,5,6
"1101082008015",3,4,4,4,5,5,5,5,6,4,4,3,3,2,2,2,2,2,2,3
"1101082058668",1,2,2,3,4,5,5,6,6,6,6,6,6,3,2,1,1,1,1,1
"1101082061267",3,4,5,4,4,3,5,3,3,2,3,4,4,4,4,3,2,2,5,2
"1101084034915",4,3,2,1,1,2,3,6,6,6,6,4,2,1,1,1,2,4,5,5
"1101086024954",2,2,1,1,1,1,1,1,2,3,4,5,6,6,6,6,6,6,6,4
"1101087096656",1,1,2,2,3,4,5,5,5,5,6,6,6,6,6,3,2,1,1,1
"1101088015735",2,2,3,4,5,4,3,2,2,2,2,2,3,6,6,6,4,3,2,2
"1101088045315",4,6,6,5,3,2,1,1,2,3,5,6,6,5,3,1,1,1,1,3
"1101089005717",6,6,6,3,3,2,2,3,3,3,3,5,4,3,3,2,2,2,3,4
"1101089020344",6,6,6,5,4,3,2,1,1,1,1,1,2,2,3,3,4,6,6,6
"1101089066638",1,2,2,3,4,4,5,6,6,6,6,6,6,5,3,1,1,1,1,1
"1101091011138",5,5,6,6,4,3,2,2,2,1,1,4,6,6,4,2,2,2,2,1
"1101092121726",6,4,2,1,1,1,3,5,5,6,6,4,2,1,1,2,3,5,6,6
"1101092124236",3,5,6,5,5,5,5,6,6,3,3,2,2,2,2,1,1,1,2,3
"1101112090239",1,2,4,6,6,6,4,2,1,1,1,2,4,6,6,5,4,2,2,1
"1101113075228",3,3,1,3,2,2,4,5,5,3,3,3,2,2,2,2,5,6,6,5
"1101114011418",5,6,4,5,4,2,1,1,1,2,2,2,4,3,3,4,5,6,5,6
"1101115017705",3,2,6,6,2,3,3,3,3,3,2,3,5,4,2,3,2,2,2,3
"1101115029078",6,6,6,6,5,5,4,1,2,1,1,1,2,2,2,2,3,5,6,6
"1101115031633",3,6,5,3,3,3,3,3,3,3,3,6,4,2,2,2,2,2,2,2
"1101115037158",5,6,6,6,3,2,2,2,2,2,3,5,5,3,3,2,2,2,2,2
"1101115040079",1,1,1,2,2,4,5,5,6,6,6,6,6,6,5,3,2,1,1,1
"1101115054667",6,6,6,2,2,1,1,2,4,5,6,6,4,3,1,1,1,2,4,6
"1101115091191",5,4,2,1,2,2,4,5,6,6,4,3,2,1,1,2,3,4,6,6
"1101116039270",2,1,2,3,3,6,4,2,2,3,2,2,2,3,4,6,6,5,3,3
"1101116067918",5,4,2,2,2,1,3,5,6,6,5,3,2,1,2,2,2,4,5,5
"1101117029851",3,3,2,4,2,2,2,3,6,4,4,3,3,4,2,2,2,3,6,2
"1101117061629",5,3,2,1,1,1,2,4,6,6,6,4,2,2,1,2,2,4,6,6
"1101119036518",2,4,6,6,6,3,2,1,1,1,2,5,6,6,5,3,2,1,1,2
"1101119038188",2,3,3,5,5,5,5,5,4,6,6,4,4,2,3,1,2,2,1,1
"1101120042946",2,1,1,1,3,5,6,6,4,2,1,1,2,2,4,6,6,6,4,3
"1101120058376",3,2,2,1,1,3,4,4,6,6,6,4,2,2,2,1,3,3,4,5
"1101121039499",6,6,5,4,2,2,2,3,5,6,6,5,3,1,1,1,1,3,5,6
"1101122039836",6,6,6,6,6,6,5,3,2,1,1,1,1,1,1,2,4,3,4,5
"1101122049734",1,1,3,5,6,6,5,3,1,1,1,2,3,5,6,6,5,3,2,1
"1101125054174",6,5,5,5,3,1,2,1,1,1,2,3,3,3,3,4,5,5,6,6
