"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1001114042635",4,2,2,1,1,2,3,5,6,6,4,2,1,1,1,2,3,6,6,6
"1001115035707",2,2,2,3,2,3,6,6,3,3,2,2,2,3,2,2,6,6,3,3
"1001115054337",1,1,2,3,5,6,6,5,2,2,1,1,2,2,4,6,6,3,2,2
"1001116013020",2,4,6,6,5,3,2,2,1,1,3,4,6,6,6,4,2,2,1,1
"1001116076392",6,5,3,2,2,1,2,2,4,6,6,5,3,2,1,1,2,2,3,6
"1001117004707",3,4,1,1,1,2,3,4,5,4,4,2,2,2,3,6,5,6,6,5
"1001117066057",3,3,3,2,2,3,3,4,6,6,3,3,3,3,2,2,3,5,3,2
"1001118068781",2,2,2,4,4,4,5,6,4,5,5,5,5,5,5,4,2,1,1,2
"1001119012388",3,5,5,6,5,5,2,1,1,2,2,4,6,6,6,4,2,2,1,2
"1001119053119",6,3,2,2,3,2,3,3,2,6,6,3,2,3,3,2,2,2,3,5
"1001121019355",1,1,2,2,4,4,6,5,5,5,5,6,6,4,2,2,2,1,1,2
"1001122010601",6,6,3,2,1,1,1,2,3,6,6,5,3,2,2,1,2,3,5,6
"1001122024868",6,5,6,3,2,1,1,2,3,4,6,6,6,4,3,1,2,3,3,5
"1001123026252",5,6,6,6,6,6,6,5,4,2,1,1,1,1,1,1,2,2,4,4
"1001124056185",6,5,3,2,1,1,1,2,4,6,6,6,3,2,1,2,2,3,4,6
"1001125027343",6,6,6,4,2,1,1,2,3,5,6,6,6,4,2,1,1,1,2,4
"1004003046279",6,6,6,3,2,1,1,1,3,5,6,5,5,3,2,2,2,2,2,4
"1004007001719",2,2,3,5,6,6,5,3,2,2,2,2,2,3,4,5,4,3,2,2
"1004007019211",2,3,6,6,5,4,3,2,1,1,1,4,5,6,6,3,2,3,2,2
"1004008005036",1,1,2,5,6,6,6,4,3,2,2,2,2,3,4,6,5,5,3,2
"1004008016277",6,4,5,6,6,6,5,3,1,2,1,2,3,2,1,3,3,3,4,4
"1004015050973",4,2,1,1,1,2,4,6,6,6,4,2,1,1,1,2,4,6,6,6
"1004018022341",4,6,6,6,5,3,2,1,1,1,2,4,6,6,4,2,2,1,2,3
"1004019030231",4,6,6,5,3,2,1,1,2,2,4,6,6,5,3,2,1,1,1,2
"1004021009278",1,1,2,4,6,6,6,3,3,2,2,1,3,4,5,6,5,5,2,1
"1004025024600",2,3,5,6,6,5,3,2,1,1,1,2,4,6,6,5,3,1,1,1
"1004026005884",6,6,6,5,3,1,1,1,2,4,6,6,6,3,2,1,1,1,2,3
"1004027061213",3,2,1,1,2,4,6,6,6,5,2,1,1,1,1,3,5,6,6,5
"1004028034325",NA,4,5,5,6,3,2,2,2,2,2,5,5,6,6,5,1,1,1,1
"1004028063310",2,5,6,6,6,4,1,1,1,1,2,5,5,6,6,4,2,3,1,2
"1004029021042",3,1,1,1,2,4,6,6,6,5,3,1,1,1,2,4,6,6,6,4
"1004029034388",2,2,2,2,3,4,6,6,5,3,2,2,2,2,2,3,4,3,3,2
"1004029045988",2,3,5,6,6,2,3,2,2,2,2,3,4,4,3,2,2,2,3,4
"1004029051820",4,4,6,5,6,3,2,1,1,2,3,4,6,6,5,4,1,1,1,2
"1004031024264",1,1,2,4,6,6,6,5,3,2,1,1,2,4,6,6,6,5,2,1
"1004033086342",5,3,2,1,1,1,2,4,6,6,6,4,2,1,1,1,2,4,6,6
"1004045069021",6,6,6,4,2,1,1,2,3,3,6,6,6,3,2,1,1,1,1,4
"1004045079318",2,3,5,6,6,5,3,2,1,1,2,3,4,6,6,4,2,2,1,1
"1004046030491",4,6,6,5,5,3,1,1,1,2,3,6,6,6,5,2,1,1,2,3
"1004046034784",6,5,3,2,1,1,1,2,4,6,6,6,3,2,1,2,2,2,4,6
"1004046081533",1,2,2,1,4,5,6,6,5,3,1,2,1,3,5,6,6,6,3,2
"1004047057639",4,3,1,1,1,3,5,6,6,5,2,1,1,2,2,4,4,5,6,5
"1004048079131",2,1,2,3,5,5,6,6,4,1,1,1,1,3,4,6,6,6,4,3
"1004049002207",4,4,3,2,2,3,1,5,5,6,6,6,3,3,2,2,1,3,3,3
"1004049042601",5,3,1,2,1,2,3,5,6,6,3,2,1,1,2,2,3,5,6,6
"1004049048916",6,5,3,4,2,2,3,4,5,6,6,5,2,1,1,1,2,4,5,6
"1004051016949",5,4,2,2,1,2,4,5,6,6,6,6,3,2,1,1,1,3,5,5
"1004051030274",1,1,2,2,5,6,6,5,2,2,1,1,2,3,5,6,6,4,3,2
"1004052000745",2,2,1,2,3,3,4,4,5,4,3,2,3,3,3,6,6,5,6,4
"1004052025602",3,3,3,4,4,3,2,2,2,2,2,2,2,6,6,6,3,3,2,2
"1004053015097",6,5,3,1,1,1,2,3,5,6,6,4,3,1,1,1,2,4,6,6
"1004053043458",2,3,4,4,6,6,6,6,6,6,5,4,3,2,1,1,1,1,1,2
"1004054020542",5,2,2,1,1,1,3,5,6,6,5,3,2,1,1,1,2,4,6,6
"1004055041917",1,1,3,3,5,6,4,5,2,2,2,2,4,4,6,6,5,3,1,2
"1004056008961",1,1,2,3,4,6,6,6,5,2,1,1,2,2,3,5,5,5,3,2
