id,mean,std,blarg,level,catalina_id,period,Var_type,Amplitude,MedianAbsDev,SmallKurtosis,Skew,Rcs,MedianBRP
631,13.494697124031,0.253698719630241,631.0,Catalina (CSDR2),1001004003617,0.279798,EW,0.396941500000001,0.151078999999999,-1.04959275784306,0.600201151632218,0.084646,0.267441860465116
1347,14.583067104,0.177405289868579,1347.0,Catalina (CSDR2),1001005029084,0.365948,EW,0.271669999999999,0.151072500000001,-0.88378431471093,0.371632658028493,0.175902,0.252
1203,13.951612304,0.204801036916094,1203.0,Catalina (CSDR2),1001005035721,0.6750800,EA,0.371831999999999,0.0354295000000002,1.95005678987738,1.7653392455914,0.150191,0.752
31,15.3344213571429,0.116096295597567,31.0,Catalina (CSDR2),1001010039266,0.2694537,RRc,0.172573499999999,0.111066499999999,-1.10652118347775,0.15556847261169,0.134029,0.217857142857143
20,14.4340833496503,0.118341482469878,20.0,Catalina (CSDR2),1001013037900,0.741128,EW,0.209813500000001,0.0451249999999996,0.964414356243252,1.38141383921269,0.188358,0.545454545454545
212,16.88823203367,0.215408152294376,212.0,Catalina (CSDR2),1001015004303,0.643438,RRab,0.3999785,0.122935000000002,2.65410450232094,-1.36263392171914,0.075480,0.562289562289562
75,16.8581742272727,0.162269573204792,75.0,Catalina (CSDR2),1001016007403,0.284214,EW,0.26709275,0.103851999999996,-0.825596710310227,0.590405900109001,0.166311,0.298701298701299
1046,12.2332651511706,0.21179805221849,1046.0,Catalina (CSDR2),1001018042499,0.361938,EW,0.394588599999999,0.1304198,-0.415663350248034,0.500037853195346,0.094793,0.381270903010033
1093,15.6581712554517,0.0591740449457429,1093.0,Catalina (CSDR2),1001019046111,1.7183636,EW,0.110026000000001,0.0428689999999996,-0.202743789227429,0.47470394655608,0.190363,0.364485981308411
898,16.3757469401709,0.0875031838707556,898.0,Catalina (CSDR2),1001024003934,0.4894,EA,0.165076000000003,0.0343640000000001,1.09754833702199,1.29189883370653,0.151501,0.572649572649573
1694,18.2592871047904,0.231700767512427,1694.0,Catalina (CSDR2),1001024044596,0.6231126,RRab,0.425776000000001,0.149182000000003,2.54334270970037,-0.334087350298059,0.092940,0.673652694610778
1407,15.9792064617647,0.0788175135691473,1407.0,Catalina (CSDR2),1001025036884,0.343542,EW,0.132769499999998,0.0646010000000006,-1.05918710423272,0.0925176475039525,0.203082,0.229411764705882
1213,12.9974258151057,0.107039535435695,1213.0,Catalina (CSDR2),1001026008810,0.330729,EW,0.1790641,0.0579148000000007,17.8509413862769,1.96117773975934,0.186080,0.785498489425982
662,17.80059679375,0.21516703951471,662.0,Catalina (CSDR2),1001028033728,0.289626,β Lyrae,0.449708999999999,0.1064235,3.09901307764307,-0.324473461843374,0.146830,0.69375
899,15.98855898125,0.0556321108620861,899.0,Catalina (CSDR2),1001028043035,0.338872,EW,0.10407225,0.0408529999999994,-0.830810311053858,0.324845950116884,0.127546,0.2625
66,13.1015146377224,0.181258771777687,66.0,Catalina (CSDR2),1001029046772,3.6933544,EA,0.326029300000001,0.0399161999999986,5.85185209061306,2.36236024601957,0.119937,0.818505338078292
489,17.5985252384342,0.205997119278463,489.0,Catalina (CSDR2),1001029067141,0.29379,EW,0.361313000000001,0.119003000000003,-0.487155525208236,0.715067233261238,0.083913,0.373665480427046
51,15.5109067330961,0.0807487892819227,51.0,Catalina (CSDR2),1001029069020,2.34012,EW,0.148092,0.0450970000000002,8.48541747661605,-1.78331745997862,0.086597,0.647686832740214
1719,13.072545759322,0.147154839291237,1719.0,Catalina (CSDR2),1001031003899,3.8891420,EA,0.2843566,0.0200759999999995,6.08976492557515,2.52924971566525,0.109747,0.819209039548023
1740,14.1281559791667,0.10651296744361,1740.0,Catalina (CSDR2),1001032080975,0.304992,EW,0.1785365,0.0756625,-0.825772448102929,0.578220963512353,0.129145,0.234375
743,14.9828816953642,0.0755270399623864,743.0,Catalina (CSDR2),1001045000885,0.4116368,EW,0.126141000000001,0.0643650000000022,-1.09738991308651,-0.0155269065088103,0.202805,0.23841059602649
187,15.4389542324561,0.0823540592534358,187.0,Catalina (CSDR2),1001045018128,0.405835,EW,0.143094749999999,0.0593194999999991,-0.585162986381979,0.592137497279332,0.137016,0.175438596491228
268,15.9701631434978,0.153905279450996,268.0,Catalina (CSDR2),1001045049004,0.44912,EW,0.25912825,0.0840979999999973,-0.145254261945941,0.533364792843082,0.127838,0.488789237668161
976,17.4079973920705,0.214427872302232,976.0,Catalina (CSDR2),1001045053788,3.30975,EA,0.473222249999999,0.0505670000000009,8.38246957627986,2.76281897417061,0.169813,0.801762114537445
872,16.7571195833333,0.250068805126312,872.0,Catalina (CSDR2),1001045086407,2.4814634,EA,0.533459499999999,0.0488784999999989,8.25994331676849,2.83991210843789,0.123256,0.846491228070175
1723,17.109181807947,0.137706363844927,1723.0,Catalina (CSDR2),1001046006289,0.37406,EA,0.264342250000002,0.0813585000000003,0.461836249278051,0.813086961194936,0.145486,0.519867549668874
1629,16.8260894102564,0.0828792914835102,1629.0,Catalina (CSDR2),1001048012382,0.2671432,EW,0.160790500000001,0.0552409999999988,0.124849217466614,-0.186071449053106,0.118226,0.432692307692308
624,17.62674103125,0.16894302874467,624.0,Catalina (CSDR2),1001048073058,1.27111,EA,0.36754975,0.0792335000000008,3.3124538301624,1.51832735389472,0.123662,0.659375
1859,16.9141810301205,0.234619063288205,1859.0,Catalina (CSDR2),1001049035558,0.321132,EW,0.4099865,0.1000715,0.398683398269922,1.15758345915675,0.076706,0.548192771084337
